"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,1,2.7133255
0,2,7.8309484
0,3,13.108118
0,4,18.254835
0,5,23.235691
0,6,28.034063
0,7,32.632668
0,8,37.018444
0,9,41.1852
0,10,45.133068
0,11,46.15386
0,12,44.565205
0,13,42.62267
0,14,40.62828
0,15,38.630024
0,16,36.6572
0,17,34.739483
0,18,32.90181
0,19,31.161697
0,20,29.529612
0,21,28.010206
0,22,26.603964
0,23,25.308493
0,24,24.119408
0,25,23.03107
0,26,22.037172
0,27,21.131077
0,28,20.306072
0,29,19.555574
0,30,18.87325
0,31,18.253057
0,32,17.689339
0,33,17.176823
0,34,16.710642
0,35,16.286324
0,36,15.899766
0,37,15.547231
0,38,15.225316
0,39,14.930928
0,40,14.661285
0,41,14.413852
0,42,14.186383
0,43,13.976823
0,44,13.783348
0,45,13.604298
0,46,13.4381895
0,47,13.283684
0,48,13.13959
0,49,13.004832
0,50,12.878458
0,51,12.75961
0,52,12.647527
0,53,12.54153
0,54,12.441006
0,55,12.345396
0,56,12.254236
0,57,12.167079
0,58,12.0835
0,59,12.003184
0,60,11.925811
0,61,11.85106
0,62,11.77871
0,63,11.708538
0,64,11.64032
0,65,11.573893
0,66,11.5091
0,67,11.445792
0,68,11.383848
0,69,11.323155
0,70,11.263609
0,71,11.20512
0,72,11.147607
0,73,11.090989
0,74,11.035204
0,75,10.980191
0,76,10.92589
0,77,10.872254
0,78,10.8192425
0,79,10.766811
0,80,10.714927
0,81,10.663559
0,82,10.612679
0,83,10.562259
0,84,10.512279
0,85,10.462717
0,86,10.413554
0,87,10.364774
0,88,10.316358
0,89,10.268295
0,90,10.220573
0,91,10.17318
0,92,10.1261
0,93,10.07932
0,94,10.032846
0,95,9.986662
0,96,9.940757
0,97,9.895118
0,98,9.849743
0,99,9.804636
0,100,9.759783
0,101,9.715177
0,102,9.670811
0,103,9.626687
0,104,9.582802
0,105,9.539148
0,106,9.495725
0,107,9.452527
0,108,9.409554
0,109,9.366801
0,110,9.324269
0,111,9.281954
0,112,9.239854
0,113,9.197966
0,114,9.156287
0,115,9.114818
0,116,9.073553
0,117,9.032494
0,118,8.991636
0,119,8.950979
0,120,8.91052
0,121,8.870257
0,122,8.83019
0,123,8.790317
0,124,8.750634
0,125,8.711143
0,126,8.671841
0,127,8.632726
0,128,8.593799
0,129,8.555057
0,130,8.5164995
0,131,8.478126
0,132,8.439934
0,133,8.401922
0,134,8.364092
0,135,8.32644
0,136,8.288966
0,137,8.251668
0,138,8.214546
0,139,8.177599
0,140,8.140825
0,141,8.104224
0,142,8.067795
0,143,8.031536
0,144,7.9954467
0,145,7.9595265
0,146,7.923774
0,147,7.8881874
0,148,7.852767
0,149,7.8175116
0,150,7.7824206
0,151,7.747493
0,152,7.712727
0,153,7.678123
0,154,7.643679
0,155,7.6093955
0,156,7.5752707
0,157,7.5413036
0,158,7.507494
0,159,7.473841
0,160,7.440344
0,161,7.407002
0,162,7.3738136
0,163,7.340779
0,164,7.3078966
0,165,7.2751665
0,166,7.242587
0,167,7.2101583
0,168,7.1778793
0,169,7.1457486
0,170,7.113766
0,171,7.0819316
0,172,7.050243
0,173,7.0187006
0,174,6.9873033
0,175,6.9560504
0,176,6.9249415
0,177,6.8939753
0,178,6.863152
0,179,6.8324704
0,180,6.8019295
0,181,6.771529
0,182,6.7412686
0,183,6.711147
0,184,6.6811633
0,185,6.651317
0,186,6.621608
0,187,6.5920343
0,188,6.5625963
0,189,6.533293
0,190,6.504123
0,191,6.4750876
0,192,6.4461865
0,193,6.4174175
0,194,6.3887806
0,195,6.3602743
0,196,6.3318987
0,197,6.303653
0,198,6.2755356
0,199,6.247547
0,200,6.219686
0,201,6.1919518
0,202,6.1643434
0,203,6.136861
0,204,6.1095033
0,205,6.0822716
0,206,6.055166
0,207,6.028183
0,208,6.0013237
0,209,5.9745865
0,210,5.947972
0,211,5.921478
0,212,5.8951044
0,213,5.868851
0,214,5.842717
0,215,5.816702
0,216,5.790805
0,217,5.7650256
0,218,5.7393627
0,219,5.7138186
0,220,5.6883903
0,221,5.663078
0,222,5.637881
0,223,5.612798
0,224,5.5878296
0,225,5.5629745
0,226,5.538233
0,227,5.513603
0,228,5.489086
0,229,5.46468
0,230,5.4403853
0,231,5.4162006
0,232,5.392126
0,233,5.3681607
0,234,5.3443046
0,235,5.3205566
0,236,5.296917
0,237,5.2733846
0,238,5.249959
0,239,5.2266397
0,240,5.203427
0,241,5.1803193
0,242,5.1573167
0,243,5.134419
0,244,5.1116247
0,245,5.0889344
0,246,5.066347
0,247,5.0438623
0,248,5.0214796
0,249,4.9991984
0,250,4.9770184
0,251,4.954939
0,252,4.9329596
0,253,4.91108
0,254,4.8893
0,255,4.867618
0,256,4.846035
0,257,4.8245497
0,258,4.803162
0,259,4.781871
0,260,4.7606764
0,261,4.7395782
0,262,4.7185755
0,263,4.697668
0,264,4.676855
0,265,4.6561365
0,266,4.635512
0,267,4.6149807
0,268,4.5945425
0,269,4.5741963
0,270,4.5539427
0,271,4.53378
0,272,4.513709
0,273,4.493729
0,274,4.4738393
0,275,4.4540396
0,276,4.434329
0,277,4.414708
0,278,4.395176
0,279,4.375732
0,280,4.356376
0,281,4.3371077
0,282,4.3179264
0,283,4.2988315
0,284,4.2798233
0,285,4.260901
0,286,4.242064
0,287,4.2233124
0,288,4.204645
0,289,4.186063
0,290,4.167564
0,291,4.149149
0,292,4.130817
0,293,4.1125674
0,294,4.094401
0,295,4.0763164
0,296,4.0583134
0,297,4.040392
0,298,4.0225515
0,299,4.0047913
0,300,3.9871116
0,301,3.9695117
0,302,3.9519913
0,303,3.9345498
0,304,3.9171872
0,305,3.8999028
0,306,3.8826964
0,307,3.865568
0,308,3.8485165
0,309,3.831542
0,310,3.8146443
0,311,3.7978227
0,312,3.7810771
0,313,3.764407
0,314,3.747812
0,315,3.731292
0,316,3.7148464
0,317,3.6984751
0,318,3.6821775
0,319,3.6659534
0,320,3.6498024
0,321,3.6337242
0,322,3.6177185
0,323,3.601785
0,324,3.5859232
0,325,3.5701327
0,326,3.5544136
0,327,3.5387652
0,328,3.5231872
0,329,3.5076792
0,330,3.4922414
0,331,3.4768732
0,332,3.4615738
0,333,3.4463437
0,334,3.431182
0,335,3.4160886
0,336,3.401063
0,337,3.386105
0,338,3.3712144
0,339,3.356391
0,340,3.341634
0,341,3.3269436
0,342,3.3123193
0,343,3.2977605
0,344,3.2832675
0,345,3.2688396
0,346,3.2544765
0,347,3.240178
0,348,3.225944
0,349,3.2117739
0,350,3.1976676
0,351,3.1836247
0,352,3.1696448
0,353,3.1557279
0,354,3.1418736
0,355,3.1280816
0,356,3.1143515
0,357,3.1006832
0,358,3.0870762
0,359,3.0735304
0,360,3.0600455
0,361,3.046621
0,362,3.033257
0,363,3.019953
0,364,3.0067089
0,365,2.993524
0,366,2.9803984
0,367,2.967332
0,368,2.954324
0,369,2.9413745
0,370,2.9284832
0,371,2.9156497
0,372,2.9028738
0,373,2.8901553
0,374,2.8774939
0,375,2.8648891
0,376,2.852341
0,377,2.839849
